Product Title,Star,Rating,Review,Processor,RAM,ROM,Screen Size,Current Price,MRP,Image Link
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5,3.9,8,1,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹69,490","₹95,790",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
MSI Core i5 11th Gen,4.5,"2,347",297,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹70,990","₹83,990",https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
HP Pavilion Ryzen 5 Hexa Core AMD R5,4.5,139,20,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹64,990","₹81,869",https://rukminim1.flixcart.com/image/312/312/kwdv3bk0/computer/r/m/c/15-ec2145ax-gaming-laptop-hp-original-imag92vp9cznphgg.jpeg?q=70
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7,4.6,79,6,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,1 TB SSD,39.62 cm (15.6 inch),"₹85,990","₹1,15,990",https://rukminim1.flixcart.com/image/312/312/l3vxbbk0/computer/g/u/y/-original-imagewgtfgzf8fdd.jpeg?q=70
HP Core i3 11th Gen,4.2,30,1,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹36,990","₹45,743",https://rukminim1.flixcart.com/image/312/312/kwtkxow0/computer/j/d/r/hp-business-laptop-laptop-hp-original-imag9ff5gayydubg.jpeg?q=70
ASUS VivoBook 15 (2022) Core i5 10th Gen,4.3,"5,537",476,Intel Core i5 Processor (10th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹44,990","₹62,990",https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
HP Pavilion Intel Core i5 12th Gen,4.4,179,8,Intel Core i5 Processor (12th Gen),16 GB DDR4,512 GB SSD,35.56 cm (14 inch),"₹69,590","₹78,294",https://rukminim1.flixcart.com/image/312/312/l4fxh8w0/computer/s/i/s/-original-imagfc54nty5wgeh.jpeg?q=70
HP Ryzen 3 Dual Core 3250U,4.1,749,70,AMD Ryzen 3 Dual Core Processor,8 GB DDR4,256 GB SSD,39.62 cm (15.6 mm),"₹29,199","₹43,631",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/j/c/-original-imagh3wecapg5gqn.jpeg?q=70
acer Aspire 7 Ryzen 5 Hexa Core 5500U,4.4,"5,013",623,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹53,990","₹89,999",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/e/h/-original-imagjyc69gh3a8wu.jpeg?q=70
RedmiBook Pro Core i5 11th Gen,4.2,"3,166",389,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹42,990","₹59,999",https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
